Date,Substation,Feeder_Name,Time Off,Time On,Delay Hrs.,Line_section,new
2019-12-16 00:00:00,Panadura,Walana,8:09 h,8:38 h,0.48,Section 1_2_3,overwritten
2019-12-16 00:00:00,Panadura,Walana,8:38 h,8:54 h,0.27,Section 2_3,overwritten
2019-12-14 00:00:00,Panadura,Walana,8:37 h,8:42 h,0.08,Section 3,overwritten
2019-12-14 00:00:00,Panadura,Walana,9:06 h,9:39 h,0.55,Section 2,overwritten
2019-12-14 00:00:00,Panadura,Walana,13:27 h,14:11 h,0.73,Section 2,overwritten
2019-12-14 00:00:00,Panadura,Walana,14:25 h,14:29 h,0.07,Section 3,overwritten
2019-11-30 00:00:00,Panadura,Walana,7:38 h,8:04 h,0.43,Section 1_2_3,overwritten
2019-11-30 00:00:00,Panadura,Walana,13:10 h,13:29 h,0.32,Section 1_2_3,overwritten
2019-11-30 00:00:00,Panadura,Walana,13:45 h,13:48 h,0.05,Section 1_2_3,overwritten
2019-11-20 00:00:00,Panadura,Walana,21:35 h,21:43 h,0.13,Section 1_2_3,overwritten
2019-10-27 00:00:00,Panadura,Walana,8:02 h,8:37 h,0.58,Section 1_2_3,overwritten
2019-09-16 00:00:00,Panadura,Walana,22:53 h,23:37 h,0.73,Section 1_2_3,overwritten
2019-08-23 00:00:00,Panadura,Walana,9:15 h,9:41 h,0.43,Section 1_2_3,overwritten
2019-08-23 00:00:00,Panadura,Walana,9:41 h,10:02 h,0.35,Section 3,overwritten
2019-08-22 00:00:00,Panadura,Walana,6:10 h,6:48 h,0.63,Section 1_2_3,overwritten
2019-07-24 00:00:00,Panadura,Walana,15:11 h,16:02 h,0.85,Section 1_2_3,overwritten
2019-06-26 00:00:00,Panadura,Walana,7:06 h,7:27 h,0.35,Section 1_2_3,overwritten
2019-06-22 00:00:00,Panadura,Walana,16:25 h,16:53 h,0.47,Section 1_2_3,overwritten
2019-06-22 00:00:00,Panadura,Walana,16:53 h,17:13 h,0.33,Section 2_3,overwritten
2019-06-01 00:00:00,Panadura,Walana,6:40 h,7:16 h,0.6,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:05 h,9:29 h,0.4,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:45 h,10:05 h,0.33,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:05 h,10:09 h,0.07,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:09 h,10:38 h,0.48,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:38 h,10:40 h,0.03,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:40 h,12:16 h,1.6,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:29 h,9:45 h,0.27,Section 2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,12:16 h,12:19 h,0.05,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,12:19 h,12:59 h,0.67,Section 3,overwritten
2019-04-28 00:00:00,Panadura,Walana,6:52 h,7:14 h,0.37,Section 1_2_3,overwritten
2019-04-27 00:00:00,Panadura,Walana,17:32 h,18:11 h,0.65,Section 1_2_3,overwritten
2019-04-27 00:00:00,Panadura,Walana,18:11 h,18:20 h,0.15,Section 3,overwritten
2019-04-23 00:00:00,Panadura,Walana,10:32 h,11:10 h,0.63,Section 1_2_3,overwritten
2019-04-23 00:00:00,Panadura,Walana,15:52 h,16:51 h,0.98,Section 1_2_3,overwritten
2019-04-21 00:00:00,Panadura,Walana,17:47 h,18:19 h,0.53,Section 1_2_3,overwritten
2019-04-20 00:00:00,Panadura,Walana,16:03 h,16:49 h,0.77,Section 1_2_3,overwritten
2019-04-15 00:00:00,Panadura,Walana,15:36 h,15:52 h,0.27,Section 1_2_3,overwritten
2019-04-15 00:00:00,Panadura,Walana,19:40 h,20:12 h,0.53,Section 1_2_3,overwritten
2019-04-01 00:00:00,Panadura,Walana,8:52 h,9:18 h,0.43,Section 1_2_3,overwritten
2019-02-03 00:00:00,Panadura,Walana,8:25 h,8:30 h,0.08,Section 3,overwritten
2019-02-03 00:00:00,Panadura,Walana,8:36 h,8:40 h,0.07,Section 1_2,overwritten
2019-02-03 00:00:00,Panadura,Walana,13:30 h,13:32 h,0.03,Section 1_2,overwritten
2019-02-03 00:00:00,Panadura,Walana,13:39 h,13:41 h,0.03,Section 3,overwritten
2019-01-06 00:00:00,Panadura,Walana,7:43 h,7:48 h,0.08,Section 1_2_3,overwritten
2019-01-06 00:00:00,Panadura,Walana,16:31 h,16:39 h,0.13,Section 1_2_3,overwritten
2019-01-03 00:00:00,Panadura,Walana,7:53 h,8:16 h,0.38,Section 1_2_3,overwritten
2018-12-17 00:00:00,Panadura,Walana,9:38 h,9:45 h,0.12,Section 1_2_3,overwritten
2018-12-04 00:00:00,Panadura,Walana,7:58 h,8:30 h,0.53,Section 1_2_3,overwritten
2018-12-04 00:00:00,Panadura,Walana,15:56 h,16:22 h,0.43,Section 3,overwritten
2018-12-03 00:00:00,Panadura,Walana,10:23 h,10:51 h,0.47,Section 1_2_3,overwritten
2018-12-03 00:00:00,Panadura,Walana,10:51 h,11:10 h,0.32,Section 3,overwritten
2018-12-01 00:00:00,Panadura,Walana,13:10 h,13:24 h,0.23,Section 1_2_3,overwritten
2018-11-25 00:00:00,Panadura,Walana,20:53 h,21:01 h,0.13,Section 2_3,overwritten
2018-11-25 00:00:00,Panadura,Walana,23:53 h,23:58 h,0.08,Section 2_3,overwritten
2018-11-10 00:00:00,Panadura,Walana,8:28 h,9:06 h,0.63,Section 1_2_3,overwritten
2018-10-24 00:00:00,Panadura,Walana,13:15 h,13:16 h,0.02,Section 1_2_3,overwritten
2018-10-16 00:00:00,Panadura,Walana,8:24 h,8:58 h,0.57,Section 1_2_3,overwritten
2018-10-09 00:00:00,Panadura,Walana,8:24 h,8:44 h,0.33,Section 1_2_3,overwritten
2018-10-05 00:00:00,Panadura,Walana,15:18 h,15:32 h,0.23,Section 1_2_3,overwritten
2018-10-05 00:00:00,Panadura,Walana,15:32 h,16:02 h,0.5,Section 2_3,overwritten
2018-09-24 00:00:00,Panadura,Walana,10:51 h,11:23 h,0.53,Section 1_2_3,overwritten
2018-09-24 00:00:00,Panadura,Walana,11:23 h,11:32 h,0.15,Section 3,overwritten
2018-09-24 00:00:00,Panadura,Walana,13:59 h,14:25 h,0.43,Section 1_2_3,overwritten
2018-09-24 00:00:00,Panadura,Walana,14:25 h,14:36 h,0.18,Section 3,overwritten
2018-09-22 00:00:00,Panadura,Walana,15:13 h,15:44 h,0.52,Section 1_2_3,overwritten
2018-09-22 00:00:00,Panadura,Walana,15:44 h,15:52 h,0.13,Section 3,overwritten
2018-09-09 00:00:00,Panadura,Walana,15:55 h,16:14 h,0.32,Section 1_2_3,overwritten
2018-09-09 00:00:00,Panadura,Walana,16:14 h,16:35 h,0.35,Section 2_3,overwritten
2018-08-31 00:00:00,Panadura,Walana,8:46 h,9:21 h,0.58,Section 1_2_3,overwritten
2018-08-25 00:00:00,Panadura,Walana,14:58 h,15:28 h,0.5,Section 1_2_3,overwritten
2018-08-25 00:00:00,Panadura,Walana,15:28 h,15:37 h,0.15,Section 3,overwritten
2018-08-01 00:00:00,Panadura,Walana,11:35 h,11:40 h,0.08,Section 3,overwritten
2018-07-14 00:00:00,Panadura,Walana,11:30 h,11:37 h,0.12,Section 3,overwritten
2018-07-14 00:00:00,Panadura,Walana,15:59 h,16:02 h,0.05,Section 3,overwritten
2018-07-08 00:00:00,Panadura,Walana,3:35 h,4:15 h,0.67,Section 1_2_3,overwritten
2018-07-03 00:00:00,Panadura,Walana,1:43 h,2:12 h,0.48,Section 1_2_3,overwritten
2018-07-03 00:00:00,Panadura,Walana,2:12 h,2:28 h,0.27,Section 2_3,overwritten
2018-06-15 00:00:00,Panadura,Walana,6:51 h,7:02 h,0.18,Section 1_2_3,overwritten
2018-06-15 00:00:00,Panadura,Walana,10:27 h,10:32 h,0.08,Section 3,overwritten
2018-06-15 00:00:00,Panadura,Walana,12:48 h,12:52 h,0.07,Section 3,overwritten
2018-06-14 00:00:00,Panadura,Walana,22:37 h,22:42 h,0.08,Section 1_2_3,overwritten
2018-06-11 00:00:00,Panadura,Walana,10:30 h,10:37 h,0.12,Section 3,overwritten
2018-06-11 00:00:00,Panadura,Walana,19:06 h,19:07 h,0.02,Section 3,overwritten
2018-06-10 00:00:00,Panadura,Walana,23:10 h,23:45 h,0.58,Section 1_2_3,overwritten
2018-06-06 00:00:00,Panadura,Walana,11:05 h,11:30 h,0.42,Section 1_2_3,overwritten
2018-05-25 00:00:00,Panadura,Walana,16:15 h,16:33 h,0.3,Section 1_2_3,overwritten
2018-05-25 00:00:00,Panadura,Walana,16:33 h,16:53 h,0.33,Section 2_3,overwritten
2018-05-25 00:00:00,Panadura,Walana,16:53 h,17:05 h,0.2,Section 3,overwritten
2018-05-18 00:00:00,Panadura,Walana,9:52 h,10:00 h,0.13,Section 2,overwritten
2018-05-18 00:00:00,Panadura,Walana,10:42 h,12:15 h,1.55,Section 1,overwritten
2018-05-18 00:00:00,Panadura,Walana,13:19 h,13:22 h,0.05,Section 1,overwritten
2018-05-18 00:00:00,Panadura,Walana,14:19 h,14:25 h,0.1,Section 2_3,overwritten
2018-05-17 00:00:00,Panadura,Walana,12:59 h,13:02 h,0.05,Section 3,overwritten
2018-05-17 00:00:00,Panadura,Walana,14:24 h,14:51 h,0.45,Section 1_2,overwritten
2018-05-17 00:00:00,Panadura,Walana,14:57 h,16:32 h,1.58,Section 1_2,overwritten
2018-05-15 00:00:00,Panadura,Walana,9:55 h,10:19 h,0.4,Section 1_2_3,overwritten
2018-05-15 00:00:00,Panadura,Walana,10:19 h,10:37 h,0.3,Section 2_3,overwritten
2018-05-10 00:00:00,Panadura,Walana,8:16 h,8:43 h,0.45,Section 1_2_3,overwritten
2018-05-10 00:00:00,Panadura,Walana,8:43 h,9:07 h,0.4,Section 2_3,overwritten
2018-04-25 00:00:00,Panadura,Walana,21:10 h,21:27 h,0.28,Section 1_2_3,overwritten
2018-04-25 00:00:00,Panadura,Walana,21:27 h,21:46 h,0.32,Section 2_3,overwritten
2018-04-13 00:00:00,Panadura,Walana,7:11 h,7:38 h,0.45,Section 1_2_3,overwritten
2018-03-24 00:00:00,Panadura,Walana,14:13 h,14:15 h,0.03,Section 1_2_3,overwritten
2018-03-24 00:00:00,Panadura,Walana,16:55 h,16:57 h,0.03,Section 1_2_3,overwritten
2018-02-26 00:00:00,Panadura,Walana,20:37 h,20:39 h,0.03,Section 1_2_3,overwritten
2018-02-26 00:00:00,Panadura,Walana,20:39 h,20:41 h,0.03,Section 1_2_3,overwritten
2018-02-08 00:00:00,Panadura,Walana,13:27 h,13:53 h,0.43,Section 1_2_3,overwritten
2018-02-08 00:00:00,Panadura,Walana,13:53 h,14:07 h,0.23,Section 2_3,overwritten
2018-01-28 00:00:00,Panadura,Walana,14:00 h,14:24 h,0.4,Section 1,overwritten
2018-01-20 00:00:00,Panadura,Walana,7:25 h,7:51 h,0.43,Section 1_2_3,overwritten
2018-01-20 00:00:00,Panadura,Walana,7:51 h,8:21 h,0.5,Section 2_3,overwritten
2017-12-15 00:00:00,Panadura,Walana,13:45 h,13:47 h,0.03,Section 1_2_3,overwritten
2017-12-15 00:00:00,Panadura,Walana,14:36 h,14:38 h,0.03,Section 1_2_3,overwritten
2017-12-15 00:00:00,Panadura,Walana,15:28 h,15:31 h,0.05,Section 1_2_3,overwritten
2017-12-15 00:00:00,Panadura,Walana,18:40 h,19:19 h,0.65,Section 1_2_3,overwritten
2017-12-15 00:00:00,Panadura,Walana,19:19 h,19:44 h,0.42,Section 2_3,overwritten
2017-12-13 00:00:00,Panadura,Walana,12:30 h,12:35 h,0.08,Section 1_2_3,overwritten
2017-12-12 00:00:00,Panadura,Walana,12:37 h,12:39 h,0.03,Section 1_2_3,overwritten
2017-12-12 00:00:00,Panadura,Walana,12:48 h,12:49 h,0.02,Section 1_2_3,overwritten
2017-11-20 00:00:00,Panadura,Walana,14:53 h,15:00 h,0.12,Section 3,overwritten
2017-11-06 00:00:00,Panadura,Walana,9:07 h,17:11 h,8.07,Section 2_3,overwritten
2017-11-06 00:00:00,Panadura,Walana,17:11 h,17:13 h,0.03,Section 2_3,overwritten
2017-10-14 00:00:00,Panadura,Walana,13:47 h,14:38 h,0.85,Section 1_2_3,overwritten
2017-10-09 00:00:00,Panadura,Walana,9:37 h,9:40 h,0.05,Section 2_3,overwritten
2017-10-09 00:00:00,Panadura,Walana,17:03 h,17:05 h,0.03,Section 2_3,overwritten
2017-09-23 00:00:00,Panadura,Walana,16:29 h,16:56 h,0.45,Section 1_2_3,overwritten
2017-09-23 00:00:00,Panadura,Walana,16:56 h,17:11 h,0.25,Section 2_3,overwritten
2017-09-11 00:00:00,Panadura,Walana,9:04 h,9:06 h,0.03,Section 2_3,overwritten
2017-09-11 00:00:00,Panadura,Walana,18:30 h,18:32 h,0.03,Section 2_3,overwritten
2017-09-02 00:00:00,Panadura,Walana,6:35 h,6:52 h,0.28,Section 1_2_3,overwritten
2017-08-28 00:00:00,Panadura,Walana,3:25 h,4:15 h,0.83,Section 1_2_3,overwritten
2017-08-28 00:00:00,Panadura,Walana,4:15 h,4:55 h,0.67,Section 2_3,overwritten
2017-08-11 00:00:00,Panadura,Walana,8:06 h,8:30 h,0.4,Section 1_2_3,overwritten
2017-08-03 00:00:00,Panadura,Walana,11:13 h,11:17 h,0.07,Section 3,overwritten
2017-07-17 00:00:00,Panadura,Walana,10:08 h,10:39 h,0.52,Section 1_2_3,overwritten
2017-07-17 00:00:00,Panadura,Walana,10:39 h,11:10 h,0.52,Section 2_3,overwritten
2017-07-17 00:00:00,Panadura,Walana,12:44 h,12:46 h,0.03,Section 2_3,overwritten
2017-07-11 00:00:00,Panadura,Walana,10:48 h,11:36 h,0.8,Section 1,overwritten
2017-07-11 00:00:00,Panadura,Walana,12:06 h,12:12 h,0.1,Section 2,overwritten
2017-07-01 00:00:00,Panadura,Walana,12:07 h,12:28 h,0.35,Section 2_3,overwritten
2017-06-16 00:00:00,Panadura,Walana,9:31 h,9:34 h,0.05,Section 1_2_3,overwritten
2017-06-16 00:00:00,Panadura,Walana,12:56 h,12:58 h,0.03,Section 1_2_3,overwritten
2017-05-21 00:00:00,Panadura,Walana,10:51 h,11:22 h,0.52,Section 1_2_3,overwritten
2017-05-16 00:00:00,Panadura,Walana,0:22 h,0:47 h,0.42,Section 1_2_3,overwritten
2017-05-16 00:00:00,Panadura,Walana,0:47 h,1:20 h,0.55,Section 2_3,overwritten
2017-05-15 00:00:00,Panadura,Walana,11:08 h,11:27 h,0.32,Section 3,overwritten
2017-05-15 00:00:00,Panadura,Walana,6:53 h,6:58 h,0.08,Section 3,overwritten
2017-05-13 00:00:00,Panadura,Walana,9:13 h,9:15 h,0.03,Section 1_2_3,overwritten
2017-05-07 00:00:00,Panadura,Walana,11:19 h,11:46 h,0.45,Section 1_2_3,overwritten
2017-05-05 00:00:00,Panadura,Walana,8:41 h,8:44 h,0.05,Section 2_3,overwritten
2017-05-05 00:00:00,Panadura,Walana,16:58 h,17:03 h,0.08,Section 2_3,overwritten
2017-05-02 00:00:00,Panadura,Walana,16:37 h,17:06 h,0.48,Section 1_2_3,overwritten
2017-04-30 00:00:00,Panadura,Walana,7:14 h,7:16 h,0.03,Section1,overwritten
2017-04-30 00:00:00,Panadura,Walana,18:47 h,18:49 h,0.03,Section1,overwritten
2017-04-24 00:00:00,Panadura,Walana,4:41 h,5:07 h,0.43,Section 1_2_3,overwritten
2017-04-24 00:00:00,Panadura,Walana,5:07 h,5:20 h,0.22,Section 1_2_3,overwritten
2017-04-15 00:00:00,Panadura,Walana,5:00 h,5:08 h,0.13,Section 1_2_3,overwritten
2017-04-10 00:00:00,Panadura,Walana,17:19 h,17:35 h,0.27,Section 1_2_3,overwritten
2017-04-10 00:00:00,Panadura,Walana,17:35 h,17:57 h,0.37,Section 2_3,overwritten
2017-04-10 00:00:00,Panadura,Walana,17:57 h,18:16 h,0.32,Section 3,overwritten
2017-03-29 00:00:00,Panadura,Walana,2:42 h,2:49 h,0.12,Section 1_2_3,overwritten
2017-03-16 00:00:00,Panadura,Walana,2:32 h,2:48 h,0.27,Section 3,overwritten
2017-03-15 00:00:00,Panadura,Walana,23:15 h,23:42 h,0.45,Section 1_2_3,overwritten
2017-03-15 00:00:00,Panadura,Walana,23:42 h,23:55 h,0.22,Section 2_3,overwritten
2017-03-14 00:00:00,Panadura,Walana,9:53 h,9:59 h,0.1,Section 3,overwritten
2017-03-14 00:00:00,Panadura,Walana,17:19 h,17:21 h,0.03,Section 2_3,overwritten
2017-03-13 00:00:00,Panadura,Walana,7:30 h,7:48 h,0.3,Section1,overwritten
2017-03-13 00:00:00,Panadura,Walana,17:04 h,17:12 h,0.13,Section 1,overwritten
2017-03-11 00:00:00,Panadura,Walana,10:38 h,11:15 h,0.62,Section 1_2,overwritten
2017-03-11 00:00:00,Panadura,Walana,11:15 h,12:00 h,0.75,Section 1,overwritten
2017-03-11 00:00:00,Panadura,Walana,17:24 h,17:44 h,0.33,Section 1,overwritten
2017-03-06 00:00:00,Panadura,Walana,14:32 h,14:38 h,0.1,Section 3,overwritten
2017-03-06 00:00:00,Panadura,Walana,15:24 h,15:27 h,0.05,Section 3,overwritten
2017-01-10 00:00:00,Panadura,Walana,2:45 h,3:09 h,0.4,Section 1_2_3,overwritten
2017-01-10 00:00:00,Panadura,Walana,3:09 h,3:23 h,0.23,Section 2_3,overwritten
2017-01-09 00:00:00,Panadura,Walana,18:00 h,18:02 h,0.03,Section 2,overwritten
2016-11-26 00:00:00,Panadura,Walana,12:30 h,12:46 h,0.27,Section 1_2_3,overwritten
2016-11-26 00:00:00,Panadura,Walana,12:46 h,13:07 h,0.35,Section 2_3,overwritten
2016-11-19 00:00:00,Panadura,Walana,11:33 h,13:19 h,1.77,Section 2,overwritten
2016-10-14 00:00:00,Panadura,Walana,11:36 h,11:37 h,0.02,Section 2_3,overwritten
2016-10-14 00:00:00,Panadura,Walana,11:59 h,12:00 h,0.02,Section 2_3,overwritten
2016-10-10 00:00:00,Panadura,Walana,11:10 h,11:45 h,0.58,Section 1_2_3,overwritten
2016-09-25 00:00:00,Panadura,Walana,16:17 h,17:10 h,0.88,Section 1_2,overwritten
2016-07-30 00:00:00,Panadura,Walana,9:11 h,9:47 h,0.6,Section 1_2_3,overwritten
2016-07-30 00:00:00,Panadura,Walana,9:47 h,9:55 h,0.13,Section 2_3,overwritten
2016-07-07 00:00:00,Panadura,Walana,17:10 h,17:51 h,0.68,Section 2_3,overwritten
2016-05-27 00:00:00,Panadura,Walana,9:20 h,9:28 h,0.13,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,2:53 h,3:45 h,0.87,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,15:40 h,17:08 h,1.47,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,17:08 h,17:15 h,0.12,Section 2_3,overwritten
2016-05-17 00:00:00,Panadura,Walana,13:23 h,13:24 h,0.02,Section 1_2_3,overwritten
2016-05-17 00:00:00,Panadura,Walana,13:28 h,13:59 h,0.52,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,2:46 h,2:47 h,0.02,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,2:47 h,4:00 h,1.22,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,4:48 h,4:54 h,0.1,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,6:10 h,6:11 h,0.02,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,11:06 h,11:07 h,0.02,Section 1_2_3,overwritten
2016-05-10 00:00:00,Panadura,Walana,8:11 h,8:12 h,0.02,Section 1_2_3,overwritten
2016-05-01 00:00:00,Panadura,Walana,10:26 h,10:27 h,0.02,Section 1_2_3,overwritten
2016-04-24 00:00:00,Panadura,Walana,7:49 h,7:50 h,0.02,Section 1_2_3,overwritten
2016-04-22 00:00:00,Panadura,Walana,7:56 h,7:57 h,0.02,Section 1_2_3,overwritten
2016-04-22 00:00:00,Panadura,Walana,9:09 h,9:10 h,0.02,Section 1_2_3,overwritten
2016-04-17 00:00:00,Panadura,Walana,4:23 h,4:24 h,0.02,Section 1_2_3,overwritten
2016-03-31 00:00:00,Panadura,Walana,8:19 h,8:20 h,0.02,Section 1_2_3,overwritten
2016-03-27 00:00:00,Panadura,Walana,8:58 h,8:59 h,0.02,Section 1_2_3,overwritten
2016-01-04 00:00:00,Panadura,Walana,11:45 h,13:25 h,1.67,Section 2_3,overwritten
2015-12-05 00:00:00,Panadura,Walana,7:45 h,7:52 h,0.12,Section 2_3,overwritten
2015-12-05 00:00:00,Panadura,Walana,17:17 h,17:21 h,0.07,Section 2_3,overwritten
2015-11-19 00:00:00,Panadura,Walana,20:35 h,20:50 h,0.25,Section 2_3,overwritten
2015-11-10 00:00:00,Panadura,Walana,15:27 h,15:46 h,0.32,Section 2_3,overwritten
2015-10-21 00:00:00,Panadura,Walana,12:45 h,13:10 h,0.42,Section 1_2_3,overwritten
2015-09-19 00:00:00,Panadura,Walana,10:40 h,10:43 h,0.05,Section1,overwritten
2015-09-17 00:00:00,Panadura,Walana,10:15 h,10:18 h,0.05,Section 1_2_3,overwritten
2015-07-06 00:00:00,Panadura,Walana,9:03 h,9:22 h,0.32,Section 1_2_3,overwritten
2015-06-05 00:00:00,Panadura,Walana,18:32 h,19:40 h,1.13,Section 2_3,overwritten
2015-03-26 00:00:00,Panadura,Walana,0:20 h,0:25 h,0.08,Section 2_3,overwritten
2015-03-25 00:00:00,Panadura,Walana,19:35 h,19:45 h,0.17,Section 2_3,overwritten
